ticker,company,market,cap_tier,rock_type,notes
VMC,Vulcan Materials Company,US,large,aggregates_pure,"#1 US aggregates. The reference asset for the sector; freight-adjusted price per ton and cash gross profit per ton are the metrics it is judged on"
MLM,Martin Marietta Materials,US,large,aggregates_pure,"#2 US aggregates. Cleanest direct comp to VMC; heavy Texas and Southeast exposure"
CRH,CRH plc,US,large,aggregates_vertical,"Largest by revenue. Aggregates plus asphalt plus building products; now a US domestic filer (10-Q, US GAAP) so XBRL coverage is full"
AMRZ,Amrize,US,large,aggregates_vertical,"North American Holcim spin (2025). Pure NA building materials and a first-class VMC/MLM peer; was entirely untracked before this screen"
EXP,Eagle Materials,US,mid,cement,"Cement plus wallboard. Cleanest pure-play cement read in the US universe"
KNF,Knife River Corp,US,mid,aggregates_vertical,"2023 MDU spin. Aggregates plus contracting across the upper Midwest and Northwest"
ACA,Arcosa,US,mid,aggregates_vertical,"Aggregates plus infrastructure products, mid-shift toward rock; watch organic vs acquired volume"
USLM,United States Lime & Minerals,US,small,lime,"Lime and limestone. Highest-margin and least-followed name in the set"
GVA,Granite Construction,US,mid,aggregates_vertical,"Vertically integrated: owns the aggregates and bids the highway work, so it reads both demand sides at once. Watch backlog against bid margin"
ROAD,Construction Partners,US,mid,asphalt_rollup,"Southeast asphalt roll-up. Purest expression of public infrastructure funding plus Sunbelt migration; roll-up so separate organic from acquired"
CX,Cemex,US,large,cement,"US-listed cement major with a large US footprint; foreign private issuer so some XBRL tags are thinner"
